Nama_Usaha,Alamat_Usaha
TOKO PERACANGAN,"TERAS, MEJA, ETALASE KECIL, DAN PENUNJANG LAINNYA"
UD SAMIAN,Dusun Lawang Seketeng RT.008/ RW.002
Warung Bu Mina,Jalan S.Parman rt 07 rw 01 
KERUPUK HOKI,Kalitapen dusun krajan
Warung makanan dan minuman,Dusun lor sawah rt 005/rw 001 grujugan lor jambesari darus sholah bondowoso
Mie Samoudji,Jl. RE.Martadinata Gg.pantekosta Dabasah Bondowoso
ARIFIN BUAH,"Dusun Lengkong, Rt: 021 Rw: 004"
BEBEK jaya,selolembu rt03 rw 01
Barokah,plampe'an Rt 08/02 
UD. RISKI JAYA,desa petung Rt 04 Rw 01
keripik singkong,"Jl. kis mangunsarkoro rt.11 rw. 04,kel. tamansari, kab. bondowoso"
UD JAYA BAROKAH,DESA TAAL RT 14 RW 04
Fira laundry,"Prajekan kidul rt 02, rw 14 prajekan - bondowoso "
"""MEGA VISION""",Desa Sukosari Lor Rt.001/Rw.001
TOKO BAROKAH,DUSUN GUDANG SENG RT:19 RW:007
RIZKY MOBIL,RT. 022 RW. 009
UD.BINTANG BARU,Desa Karanganyar Rt 13 Rw 04 
TAMAN MANDIRI,TAMAN GRUJUGAN BONDOWOSO
JUAL BAKSO,DUSUN LAPANGAN 05/02
Syamsul_Samsul_Pupuk,sukodono
PEDAGANG,DUSUN KARANG PANDE
TOKO SEMBAKO ABIMANYU,"Jln. Brigpol Sudarlan, Rt 001/ Rw 001, Kelurahan Nangkaan, Kecamatan Bondowoso, Kabupaten Bondowoso"
PEDAGANG IKAN,DUSUN SEKOLAHAN RT/RW 014/006
PRACANGAN,KELURAHAN TENGGARANG RT.20 RW.07
TOKO LINDA,"Blimbing, Rt: 010 Rw: 003"
KOPERASI EKONOMI ALUMNI DAN SANTRI ,"KONCER KIDUL, TENGGARANG BONDOWOSO"
UD. CAHAYA MULYA,Desa Petung RT.04 RW. 02
Dako Trans,Dusun Krajan rt 07 rw 03
BENGKEL SAMSUL,Dusun Pancoran RT 15 RW 03
UD. AQILARROSUL,Dusun Duko Rt. 015 Rw. 004
SAMSUL ASMUNI,Jl. KH. Agus Salim RT. 008 RW. 003
BENGKEL LAS SUMBER MAKMUR,RT 002 RW 003
UD ADITYA FARM,DESA GAYAM RT.006 RW.012
RIAS PENGANTIN & SALON,JL. ABDUL WAHID/TEGAL BATU RT/RW 008/006
peternakan,dudun geding RT/RW 013/006
UD. IBU MARSINI,Dusun Jatian Rt.06/Rw.03. Desa Sumber anyar. Kecamatan Maesan. Kabupaten Bondowoso
,"Dusun Jatian Rt.06/03. Desa Sumberanyar Kecamatan Maesan, Kabupaten Bondowoso"
,Dusun Jatian Rt.06/03. Desa Sumber anyar. Kecamatan Maesan. Kabupaten Bondowoso
Viki Cell,Taman Rt 033 / Rw 04 Taman Grujugan Bondowoso
Syam Bengkel,"Asam Putih, RT 006/RW 007"
Budidaya Lele,desa sumber canting Rt 16 Rw 06 Kec. wringin Bondowoso
TOKO SAMSUL HADI,JALAN PRINGGONDANI 
UD ANEKA BUAH,Desa Taman RT/RW 014/002
BENGKEL LAS,JALAN MASTRIP RT.013 RW.003
SAMSUL SHOAP,DESA SUKODONO RT.007 RW.003
SANG SET,PADASAN  RT12 RW 05
PENJUAL ES KELILING,DUSUN PARSEH RT.07 RW.05
Pekebun,Desa Sumber Salak rt02 rw01
DK FOURNITURE,TENGGARANG RT 026/ RW 009 KEL.TENGGARANG KEC. TENGGARANG
SAM MANDIRI,Jl. Sersan Atmari Rt. 001 Rw. 001
UD TANI MAKMUR,DSN TRIBUNG RT 016
BULEK (BUDIDAYA IKAN LELE KONSUMSI) ,Jln.Raya Karang Anyar Gg.Kampung Ternak RT.21 Rw.7
Service jok mobil dan motor,sumber gading
BATA SAMSUTO,"Lojajar, Dusun Karang Jawa, Kecamatan Tenggarang"
Tahu walik,Tamansari jl.kismangunsarkoro
PENJUAL BUBUR,DIPONEGORO RT.02 RW.01
UD ISTANA BATAKO,"DESA CERMEE RT 11,RW - KECAMATAN CERMEE"
Rumah makan Si Mbah,jln. wringin 
Warung Makan,JL. MT HARYONO VII / 02 RT 15 RW 02
perdagangan,gadingsari 
"""TOKO SANDIKA",Dusun Glintongan RT. 33 RW. 08
JUAL MIE AYAM,JL. KACA PIRING 81 LINGK. GEBANG TENGAN
PEDAGANG SATE,DUSUN KRAJAN RT 08 RW 03
PENGRAJIN LAYANG-LAYANG,JL BRIGPOL SUDARLAN 
Toko Rini,Dusun Krajan RT 08/ RW 01 Penanggungan Maesan Bondowoso
makroni bunda latifah,dusun kenanga rt 030 rw 005
SIOMAY BANDUNG,Jln. Letnan Sutarman Depan Masjid Agung At-Taqwa BONDOWOSO
CAMILAN ENAK DAN GURIH,Desa Bendoarum Dusun Krajan RT.05 / 04
SAM FURNITURE,Dusun Mujo
PEDAGANG BERAS JAGUNG & SAYURAN,DESA TAMAN RT.15 RW.02
PRACANGAN ,MANDIRO RT.17 RW.03
UD KARYA MANDIRI,DUSUN KRAJAN RT.01 RW.01 DESA PAKUWESI KECAMATAN CURAHDAMI KABUPATEN BONDOWOSO
DAGANG KRUPUK,DUSUN BLOK SUMBER RT 08 RW 2
perdagangan,JETIS RT 15/7
RUKUN MINA,Krajan RT12 RW 4
UD MAKSUM 2,Sumbersuko
RAMBAK SANIMA,Dusun Grundo RT.004 RW.015
DUA SAUDARA,Dusun Lumbung RT. 03 RW. 01 Desa Curahpoh 
Toko Peracangan,"Jalan Raya Besuki, Ds. Sumber Canting "
WARUNG NASI,DESA GRUJUGAN KIDUL RT 15 RW 02
Toko RISTI,RT.27 RW.04
WARUNG SANGKARENG DAN LALAPAN,Jl. Raya Situbondo Desa Cindogo RT 012 RW005
JAMU SEHAT,Desa Grujugan Kidul
pertanian,jetis rt 10 rw 04
TOKO SANITI,MT HARYONO
PRACANGAN,MANDIRO RT.23 RW.O8
toko peracangan,dusun jatian 28/rw09
OJEK ONLINE,Jln Kh Agus salon Gg 07.Rt 06. RW 02
JAYA ABADI,RT.031 / RW.004
TOKO SEMBAKO,DESA MANDIRO RT.19 RW.06
UD. ARTHO MORO,Desa Pejaten Rt. 08 Rw. 02 Kec./Kab Bondowoso
TOKO MAJU JAYA,Desa Karanganyar Rt.006 Rw.002
TOKO PERACANGAN ADIL MAKMUR,JL.MASTRIP 09 RT.006 RW.002
TERNAK ITIK PAK SAN,PEKALANGAN RT.009/002
TOKO DELTA,PAKUWESI DUSUN BASEAN RT/RW 07/02
DAGANG BAKSO,DUSUN GADINGAN RT 12 RW 4
YUNIE ICE,penambangan rt 07/04
Ternak sapi,Dusun bunder krajan rt 01 rw 01 pancoran 
AL FITRIYAH,DUSUN KEMIRIAN DESA WONOKUSUMO RT 037 RW 011 KECAMATAN TAPEN KABUPATEN BONDOWOSO
PRACANGAN ,DUSUN WADUK 26/06
Pedagang Pracangan Sembako dan Sayur,Dusun Jatian 33 RW 11
Percetakan dan Studio Foto,Jebung Lor RT. 03 RW. 01
AL IKHLAS,Dusuk Krajan Barat Rt 002 Rw 001
TOKO KELONTONG,PETUNG RT 09 RW 4
JASMINE CATERING,Jln. Mastrip No. 35 Rt 016/06
Pedagang Palawija,"Jln. A. Yani Gang B No 28 RT 001 RW 001,Dabasah,Kab. Bondowoso"
TERNAK SAPI PAK NIPAH,SUKOKERTO RT.015/006
Pedagang cilok,Krajan RT08/RW03
AL BAROKAH ,DESA DAWUHAN RT. 02 RW. 01 
Warung gorengan,Jalan kopral moerin desa pejaten
PRACANGAN,DUSUN GADINGAN RT.14 RW.04
Pertanian,Desa Salak rt/rw 04/02
UD. Barokah,Desa Walidono RT. 10 RW. 03
Pedagang kaki lima,Alun-alun bondowoso kel. Dabasah kec. Bondowoso kab. Bondowoso prov. Jawa timur
warung sembako dan gorengan,"gunung anyar.kec,tapen .bondowoso."
PRACANGAN KRUPUK,Dusun Kidul Sawah RT. 025 RW. 005
KUE BASAH,JL.K H AGUS SALIM NO.27 BONDOWOSO
TOKO JAYA,DESA WRINGIN RT 002/ RW 013
Selep Padi Keliling,Dakon 1 Rt 14 Rw 03
es pisang ijo,jl pelita 64 rt 017 rw006
Warung Bu'Rajeh,Penambangan RT 06 RW 04 Kecamatan Curahdami
pedagang,Dusun krajan Sbr Salak
JUAL REYENG,KLABANG RT.11 RW.05
Cucu Cake,Letjen Suprapto VI/28
UD BERKAH TANI,JEBUNG LOR RT 022 RW 003
JUAL BAKSO,PONCOGATI 04/01
Kedai D'gan Barokah,Jl raya pujer rt 027 
,Jlm raya pujer rt 027
TOKO BAROKAH,RT 02 RW 04 DS. WRINGIN KEC. WRINGIN
Mina Beauty Care,Dusun Krajan RT 29 RW 04
TOKO SEMBAKO,"MANDIRO RT.09 RW,03"
Pengolahan genteng,Kalianyar tamanan
PRACANGAN ,TANGSILKULON RT.01 RW.01
TOKO DWI TUNGGAL,Bercak Asri Rt : 007
CATERING WIJAYA,PERUM TAMANSARI RT.022 RT.007
PUTRA BAROKAH,JURANGSAPI TAPEN BONDOWOSO
REZEKI,ALUN-ALUN BONDOWOSO
JUAL AYAM,JL. PERIKANAN DARAT RT.20 RW.07
PRODUKSI KUE BASAH,DUSUN KIDUL SAWAH BARAT RT.32 RW.07
Peternak joper,Krajan RT 006 RW 003 desa jetis kec.curahdami
usaha kerupuk,KIS MANGUNSARKORO RT 007/ RW 003
TOKO SUMBER WARIS,DESA JATITAMBAN RT.006 RW.002
Ternak Lele,Jalan MT Haryono No. 49
MULIA JAYA,desa jatisari rt 10 rw 003
PEDAGANG ,DUSUN KRAJAN 
CATERING,jalan HOS Cokroaminoto RT 01 RW 01
Kios Bensin,Jalan raya tegalampel 
warung barokah,jetis RT13 RW06
DIFA Cell & Marketing,Dusun Kampung Tengah RT 05 RW 02 
JUAL SAYUR,DUSUN KRAJAN RT.01 RW.07
ANEKA KRIPIK,KONCER KIDUL RT/RW 015/007
PERTUKANGAN,DUSUN KRAJAN II 07/01
Sate Buk Musta,Jln.Sersan Atmari Curahpoh RT 05 RW 01 kecamatan curahdami kabupaten bondowoso
pedagang bunga,Jl. PB. Sudirman No. 51 Blindungan Bondowoso
PETANI,DUSUN KRAJAN RT/RW 015/003
KB. KURNIA,Pal 16 RT. 006/003
Penjahit Sayadi,Desa Mengok RT.011 RW.004 Kecamatan Pujer Kabupaten Bondowoso
UD BINTANG SEMBILAN,PETUNG RT 09 RW 04 KEC PAKEM
Penjual Sayur,"Jl. Diponegoro Rt 25 RW 05, Kel. Kotakulon Kec. Bondowoso"
SAYUR SAYATI,Pasar Pengarang
Pedagang,Jl.KH Zainul Arifin RT.004/RW.001 Kotakulon
TOKO ALBAROKAH,"Desa Kalitapen
RT.007 RW.003"
OBL,PADASAN RT 03 RW 01
MEBEL,Karang anyar dusun song tengah rt/rw 19/05
DAGANG PENDOL / CILOK,BATUAN JAMBEANOM RT.001 RW.002
THEPOR BUNDA,PERUM TEGAL ASRI RT.007 / RW.002
TEMBAKAU DAN CABAI SAYIDI,ARDISAENG RT 003/RW 001
Ternak ayam kampung,"Jl Letnan Rantam Rt 31 Rw 07. Kelurahan Badean,kabupaten Bondowoso"
Warung makan,Jalan k.h agus salim blindungan bondowoso
warung rujak dan kue kering,JL. MT. HARYONO NO. 53 KELURAHAN BADEAN RT. 19 RW. 03 KECAMATAN BONDOWOSO KABUPATEN BONDOWOSO
Warung pecel banyuwangi,Jl Situbondo 275 rt 013 rw 005
pertanian,grujukan lor rt.015 rw.003
TOKO SELFI,KADEMANGAN RT.026 /002
silvi olshop,dapur
Lia's Pizza,SUMBERSALAM RT 026/RW 008 
OPTIK MITRA,"Komplek Pertokoan perumahan Griya Astari,Jurang Sapi Tapen,Bondowoso"
Peracangan,"Tenggarang,jl.raya situbondo"
TIARA beauty salon,Jl. Imam bonjol rt 011/003
TOKO SENITI,GAMBANGAN RT.001 RW.001 
DAGANG KUE KELILING,DUSUN KRAJAN RT 01 RW 01
AYAM BAKAR BLEDEK,Nangkaan-Bondowoso 
WulanOlshop,JL. DIPONEGORO GG MALABAR
Botanica Farm,Lojajar RT 1 RW 1
TOKO BAROKAH,Dusun Kampung Tengah RT 004/RW 002 Desa Maesan Kecamatan Maesan
Mak Nyimut,JL. KIS Mangunsarkoro RT.09 RW.04 no.87 Tamansari Bondowoso
NS GALLERY,DUSUN KRAJAN RT.003 RW.001
PRACANGAN,DUSUN KRAMAT RT.02 RW.01
PEDAGANG,alas sumur
WARUNG SERINA,Jln Kartini RT 22 RW 05
UD SETIA JAYA,Jl.Bali No.8 RT.07/02
Ijenesia,Jl. Teratai Perum. Tamansari Indah Kav. 4 RT. 22 RW. 7 Bondowoso
NANO COLICTION,KOTOKULON BONDOWOSO
UD INTER MEDIA,Dusun Koarah RT. 11/ RW. 04
,Dusun Koarah RT. 11/RW. 04 
,Dusun Koarah RT. 11/RW. 004 
SANIA TAYLOR,Ampelan Rt.14/04
SNI Keripik Pisang,Pecalongan RT 05 RW 01
PEDAGANG,JL.KIS MANGUNSARKORO RT.011 RW.004 TAMANSARI BONDOWOSO
Bilabel.id,dusun rowo rt 12 rw 5 kecamatan tenggarang kabupaten bondowoso jawa timur 
TOKO LANCAR JAYA,TAMANSARI INDAH BLOK J RT.022 RW.007
18 Sukses,Kh Ali Sekarputih no 15 
TOKO JAYA MOTOR,KIS MANGUNSARKORO 29A 
budidaya ayam,brigjen katamso I/412 RT 9 RW 2
Wanna Shop,Jl. K.H Wahid Hasyim no. 149
TOKO PRACANGAN,DUSUN GABUGAN RT.16 RW 3
Love to BITES ME Patisserie,Jl. MT. Haryono no.46
Amarilis Store,JL. Kis Mangunsarkoro RT05/RW02 Tamansari Bondowoso
ADHWA FARM,Jl. Letnan Rantam ( Timurnya A3 )
ANUGERAH JAYA SPARE PART,JL MASTRI KEMBANG 24/08
SYAHIRA,"Jl. K.H.R As'ad Syamsul Arifin, Krajan II RT/RW 07/02 - Besuk - Klabang - Bondowoso"
Warung Nasi ,Jl.kopral moerin desa pejaten
BROTAKER Brownies Tape Kering,Jalan RA kartini No. 45 Bondowoso
Pedagang Eceran,Dusun Cangkring RT 20/06
S.H Tailor,Desa Jambesari Rt 030/Rw 006
MIKRO KRIPIK SINGKONG,"SELOLEMBU RT/RW 006/002, CURAHDAMI - BONDOWOSO"
Brother Cellular/Jual Beli HP dan Aksesoris,"Desa Bukor, Kecamatan Wringin Kabupaten Bondowoso"
UD. AMALI FARM,DUSUN KRAJAN RT01/RW04
SHOLEH ELETRO,JL.KH.AGUS SALIM NO. 58 RT.009 RW.003
Kerajinan bakul,Desa dadapan rt 13 rw 02
MEBEL NURUS SHOLIHIN,DUSUN TAMBIRITAN RT.010 RW. 007 
UD DELIMA JAYA ABADI,JALAN KAWAH IJEN DESA MRAWAN KEC. TAPEN KAB.BONDOWOSO
laila barokah,dusun andung RT 018 RW 007 desa karang melok kecamatan tamanan kabupaten bondowoso
penjual gorengan,DUSUN PASAR RT.003 RW.001
nurul hidayah,"jln. kh agussalim no 20 gg kelurahan
blindungan-bondowoso"
""" TOKO NAJWA """,Desa Pecalongan RT.004 RW.001
UD 99,RT 001 RW 001
UD PANCORAN MAS,Lumbung
Perdagangan besar buah-buahan,Jln ahmad yani pas dpn kejaksaan bondowoso 
THE KING ALIBABA GRUB 99,PERUM BATAAN PERMAI RT. 028 RW. 008
UD. Barokah Sukses Jaya Makmur,Jl. Pelita No. 3
PRACANGAN ,SUMBERSUKO RT.04 RW.01
Toko yobel,Jln raya pakisan - maskuning wetan -kec pujer - bondowoso
TRI JAYA MOBIL,Perum taman mutiara blok Sentral no. 12 rt09 rw04 pejaten bondowoso
Bengkel,"Jln. Brigjen katamso , RT.10 RW.02 Kotakulon,Bondowoso"
WARUNG LALAPAN BEBEK PURNAMA,"Jl. Diponegoro, Bondowoso"
Toko Az Husnan,"Wringin Barat, RT/RW 002/015"
NguBar ( Nguliner Bareng),Reces rt/rw 001/001 Desa Rejoagung Kec. Sumber Wringin Kab. Bondowoso
Konveksi,JL. Jend Pol S Yudidiharjo GG Purbosari RT.29/RW.006
Laundry Putra,Jl. Leth. Suprapto gg. V /24
Cake Suci,RT.08 RW.03 Kel.Nangkaan
Motion Creative Indonesia,"JL. A Yani No. 59, RT/RW: 012/003"
TOKO NIKI SAE ELETRONIK,JALAN IMAM BONJOL NO 17 / 18
SINAR CATERING,JL. HOS COKROAMINOTO RT. 008/RW. 002
UD SINAR JAYA,Jl. Raya Jember
Jual kosmetik Online,Dusun Krajan Desa Penambangan RT.011 / RW.001 Kecamatan Curahdami Kabupaten Bondowoso
DEVANYA LAUNDRY,Jl. Hoscokrominoto No.80 Rt.25 Rw. 01 Kademangan Bondowoso
DAGANG KRUPUK,TENGGARANG RT 18 RW 6
Rafa cookies,Jln S Parman Gang Perwira
TEMPE SINTA,Jl. Perikanan Darat  RT.006/RW.003
CEKER AMBYAR,Perum Vila emas blok E1 /11 sumbersalam
Sinta Dewi,"Pekauman, Rt. 01/Rw.01"
penjual kue basah,jl.K H Agus Salim no.27 Bondowoso
perdagangan,Desa Jetis RT. 05 RW. 02
dagang padi,andung rt 15 rw6
Jual beli sepeda secon,Jl.tamanan desa grujugan lor rt 11 rw 04 
KONVEKSI DIANA,JL MAYJEN PANJAITAN
CACA CAKE,jatitamban RT013/RW 004 Kec Wringin
,jatitamban RT013/RW 004
KIOS SISKA,"WRINGIN, RT, 002 RW, 04"
Adira Fashion,Desa Bunder Krajan Rt 03 Rw 01
perdagangan,jetis rt 11 rw 06
TOKO SISKA,KRAJAN I RT 005 RW 001
PERDAGANGAN BESAR KOSMETIK,DSN KARANG PANDE
Fashion Store,Jl. Abdul Wahid Rt 11 Rw 03
BAKSO KOMOR,BERCAK ASRI RT 01
TOKO SEMBAKO,Hos cokroaminoto 20A RT 024/ RW 004 Kademangan Bondowoso
TOKO SEMBAKO,TEGALAMPEL RT 012 RW 003
Warung Rujak,desa prajekan kidul rt 05 rw 11
,Desa prajekan kidul rt 05 rw 11 
JUAL PULSA DAN SERVIS HP,DUSUN EKA PRAJA RT 09 RW.3
Pedagang,"Krajan
RT/RW 12/03
Sukowono"
DEWI LESTARI,KRAJAN RT 009 RW 003 RAMBAN WETAN
TAHU CAMPUR B.TINI,Lampu Merah Kotakulon (Depan MPM Motor) Bondowoso
Perdagangan,Karang Tengah Rt:08/03
BAKSO,Los Pasar Tamanan
pedangang,sumber suko
JUALAN RUJAK DAN GADO-GADO,KARTINI GG.IV NO.20
UD BAROKAH,DESA PUJER BARU RT.006 RW.001
Tekstil,Dusun Gading 
Pedagang Kue Basah,Dusun Krajan Bawah RT 17 Rw 2 Suger Lor Maesan
PETANI,Desa Sumber Salak rt 01 rw 01
AISAH,KOL SUGIONO 55 RT.010 RW.002
CATERING LUMAYAN,JL.LETJEN SUPRAPTO GANG 6 RT.013 RW.003
,jl. Letjen Suprapto Gang 6 Rt. 013 RW. 003
,jl. Letjen Suprapto Gang RT. 013 RW. 003
OPTIK AULIA,Desa Grujugan Lor RT.002 RW.001
OPTIK AULIA 2,Jalan Kis Mangunsarkoro RT.030 RW.007
Dagang,Tangsil Kulon RT 007 RW 003 kecamatan Tenggarang 
CATERING KUE,Jl. Kh. Agus salim RT12/RW03 blindungan bondowoso
AR99,kejayan
DAGANG DAN PERTANIAN,DUSUN GEDANGAN RT 26 RW 3
toko Kelontong dan Katering,Jl. KH Agus Salim Gg. 10 RT.16/RW.05 no 28
Jual Kerupuk,Dusun Kobunduh RT 24 RW 06
Peracangan,Jl Brigjen Katamso no 27 RT30/RW05
DAGANG TAHU DAN TEMPE,DUSUN PASAR RT 4 RW 01
Tanaman hias,Jln kh ahmad dahlan no 9 bondowoso
TOKO PRACANGAN,PELALANGAN RT 19 RW 8
JUAL GORENGAN,DUSUN KARANG KOTONG RT 13 RW 05
Toko Barokah,Taman Rt 033 Rw 04 Taman Grujugan Bondowoso
Menjahit,Tangsil kulon RT 10 RW 3 
Kantin mbak mina,Jl. Kampung haji bataan 
AMANAH,"Gayam, Rt: 007 Rw: 013"
Petani,Petung rt/rw:02/05
Toko SUMBER REZEKI,RT.013 RW.003
TOKO PRACANGAN,TENGGARANG RT 29 RW 10
TOKO PRACANGAN,DESA MANDIRO RT 19 RW 6
Rengginang khas Bondowoso,jerukl sok-sok RT/RW 008/005 BINAKAL-BONDOWOSO
Kader.Net,Jl. KH Ali Sekarputih 
Tiga putri,Dusun lapangan RT 005 RW 02
PEDAGANG KUE KERING,LUMBUNG RT/RW 018/006
BIDANG-DATA,"Pasarejo Rt. 01 Rw. 01 Wonosari, Bondowoso"
Warungkoe,"Desa Gadingsari RT 002/001,Kecamatan Binakal,Kabupaten Bondowoso"
Dagang,"Wonosari, gedung NU uwonosari,BMTNU Cabang wonosari, Bondowoso,Jawa Timur "
"Dagang ayam, Abon ayam",Jl Diponegoro RT 21 RW 07 KOTAKULON BONDOWOSO
NURUL MUSTOFA,RT/RW 001/001
BUNDA ONLINE,JLN.PELITA GG SUMBER NO.019 RT.006/RW015
Donita Shop,kelurahan sekarputih rt.04 rw.02
JUAL KERUPUK,KRAJAN RT.02 RW.01
"Toko "" ELA """,RT : 016 / RW : 007
Toko Barokah,"Dusun paceh, rt.13, rw.04"
Toko Siti fatimah,Jalan Letjen Soeprapto RT 14 RW 03 
yuri catering,jalan diponegoro gang 5
JASA CATERING,DUSUN POSONG RT18 RW05
Kue kering jaya,Desa penambangan Rt 06 Rw 04
warung perabotanrumah tangga,rt08/rw02
perdagangan,jetis rt 02 rw 01
TOKO KARTIKA,BADEAN 33/01
WARUNG KLINIK GIZI MAS GEMBOL,Jl. Brigpol Sudarlan Perum PBI Blok M - 13 RT. 16 RW. 05 Nangkaan Bondowoso
TOKO RISKA,Pejaten Rt. 008 Rw. 002
UD ILHAMADI,Dusun Sumber Bendo RT 07/ RW 03 Desa Pakuniran Maesan Bondowoso
HALIMAH JR,selolembu rt 03 rw 01
ELVAGA OLSHOP,Dusun Jawa RT13 RW05
UD FARIASI MAKMUR JAYA,desa sumber salam selatan RT. 23 RW.07
h_fla Tailor,Desa Tegal Mijin RT. 012 RW. 003 Kecamatan Grujugan Kabupaten Bondowoso
PENJUAL JAMU,DUSUN BLOK SUMBER RT.03 RW.02
Penjahit,Krajan curahpoh Rt 04/01
KODESANTRI STORE,Utara Sawah Rt.23/04 Desa Tanah Wulan
HANNA COLLECTION,DIPONEGORO IV/66
TOKO ANSOR,Jalan Raung Krajan I Rt.005 Rw.001 
,Jalan Raung Krajan I Rt.005 Rw.001
,Jalan Raung Krajan 1 Rt.005 Rw.001
,Krajan I Rt.005 Rw.001
"WARUNG ""NASI PECEL""",Jl. Situbondo Tenggarang Rt.5 Rw.2
Bakso Cilok,Dusun Bunder Krajan
warung kopi,haryono mt 04 09/02 kotakulon bondowoso
KERIPIK SINGKONG,DESA WANISODO RT 2 RW 1 KECAMATAN GRUJUGAN KABUPATEN BONDOWOSO
usaha pertanian,tanah wulan 
"TOKO "" HIKMA BAROKAH """,Desa Wonokusumo Rt.021 Rw.007
Jual jilbab keliling,Desa wonosari rt 02 rw 01 kec. Grujugan kab. Bondowoso
Penjualan pupuk dan obat-obatan,Desa Pasarejo
PENJAHIT,"Dusun Pangotaan, Rt 14 Rw 05, Desa Pakuniran, Kecamatan Maesan, Kabupaten Bondowoso"
JUAL TAHU WALIK,KRAJAN 10/03 PONCOGATI
Stokis DrW Skincare,Dusun Krajan Utara Rt. 10 Rw. 02
Galery ZIRA,Jebung kidul rt. 002 rw. 001
Toko Mila,Desa Prajekan Kidul RT 002 RW 003
Arina Catering,Jl. Situbondo No. 159 RT 2 RW 01 Tenggarang Bondowoso
pedagang kue,koncer kidul rt/15 rw/06
On line Shop fashion,"Blok.Pesantren RT.20/RW.07, Desa Sumberkalong, Kecamatan Wonosari"
IKA ABADI,RT 007 RW 002
OLAHAN KUE,DUSUN GENTENGAN RT 08 RW 03
jahit,RT. 06 RW.02
JUAL GORENGAN,KRAJAN BARU 10/04
ES TEBU JAYA,HOS COKROAMINOTO  58 RT.024 RW.004
CIRENG FROZEN BUMBU RUJAK,JALAN PEKALANGAN RT 17 RW 03 TENGGARANG
Kue Kering / Iva Cakes,Sumber Pandan
Vivi tailor,"Jalan pelita gg. Sumber no. 67 rt. 15/rw.06,tamansari, bondowoso. "
Toko Fia,Karang anyar song tengah Rt 20
Sembako,"Karanganyar RT 01 RW 01, klabang Bondowoso"
Aneka macam sosis,Desa petung RT 2 RW 1 Curahdami Bondowoso
Camilan,Prajekan Lor RT.001 RW.006 
KUE KERING,Duusun Sumber Jeding RT. 022 RW. 002
Online Maya Shop,Kampung Waru RT.005 RW.003
Kue kering aksa,Jln Brigjen Katamso RT 07 RW 02 
Toko Pembibitan Siti Mariah Ass Surur,Jebung Kidul
IZZAH ONLINE SHOP,Trotosari rt 07 rw 02
JOIN MADU,Jl. Desa Kupang
maryam shope,Dusun selatan tenggir RT 19 RW 03 
TOKO BAROKAH,Desa kalitapen RT 03 RW 02
PETANI SITTI,DUSUN KENANGA RT/RW 029/005
TERNAK SUKSES,KUPANG
Tailor,Jl.pengarang RT 02 RW 01
PERACANGAN,DESA PAKUWESI RT.05 RW.01
PENJUAL NASI,SUKODONO RT.11 RW.04
Toko barokah,Pasar wonosari
Krisna_olah-olah_Bondowoso,Perumahan Artha Karya II RT 7 RW 3 Bondowoso
pertokoan,"dusun tengginah rt 19/ rw 04, desa sumber jeruk, kecamatan jambesari darus sholah, kabupaten bondowoso"
UD. Putra Sandika,"Dusun Gadingan Rt.12/Rw.04 Desa Gunungsari, Kecamatan Maesan, Kabupaten Bondowoso"
JUAL IKAN KELILING,SUMBERSALAK 04/04
kerajinan besek ikan,desa gadingsari rt.8 rw.3
WARUNG IBU ARDIAN,DUSUN DAWUHAN KOANYAR RT.016 RW.003
,"MEJA, KURSI, GEROBAK, DAN LAIN-LAIN"
JAYA CELL,"DUSUN TAMAN KENIK RT 09 RW 03, DESA PAKUWESI KECAMATAN CURAHDAMI KABUPATEN BONDOWOSO"
WARUNG MAKAN CAK YAN,Selatan jembatan kironggo
Gilingan Padi,Tegal Rejo
NAFISAH CAKE,Dusun Krajan RT.001 RW.001
RIAS PENGANTIN,Dusun Karajan Barat RT. 006 RW. 002
WARUNG WAHEDA,"Kerang, Rt: 013 Rw: 006"
Olshop Kosmetik,Jln.Sersan Atmari curahpoh rt 05 rw 01 kecamatan curahdami kabupaten bondowoso
Olshop Kosmetik,Jln.Sersan Atmari curahpoh rt 05 rw 01 kecamatan curahdmi kabupaten bondowoso
MENGEN JAYA,Desa Mengen
Anisa Konveksi,Karanganyar RT 020 Rw 06
Pecah belah,Mengok
IVAN JAYA,jalan raya dusun glintongan RT035/RW008 desa tamanan bondowoso
fauziaholshop,bataan tenggarang rt016 rw05
Usaha Jual Gorengan,Jl.Panjaitan GG Merak No3 RT.06 RW.02 Kelurahan Tamansari Kec. Bondowoso Kab.Bondowoso
Gorengan dan es,Jl.letnan rantam rt 34/07 badean bondowoso
Safana Cokelat,"Dusun Timur Sawah, rt. 16/rw. 04"
RENADY FAMILY,"Dusun Pasar, Rt.04/01. Desa Sumbersari"
Penjual bunga,Wonosari Rt.37 Rw.12
JUAL PAKAIAN BEKAS,DUSUN KRAJAN IV RT.15 RW.04
BENGKEL  BUBUT FERY HUNTER,DESA GUBRIH RT.016 RW.004
makanan ringan,Desa Koncer Kidul Kecamatan Tenggarang Rt.14/RW.06
TOKO SOLIHIN,DUSUN MASJID 007/002
JELLY ONLINE SHOP,Jln. Raya Situbondo
Kerajinan Keranjang Ikan,"Dusun Song Tengah RT/RW 018/005, Desa Karanganyar Kecamatan Tegalampel Kabupaten Bondowoso"
